# value of a 	 DENSITY
0         	0.000     
0         	0.032     
0         	0.057     
0         	0.084     
0         	0.107     
0         	0.129     
0         	0.200     
0         	0.208     
0         	0.274     
0         	0.373     
0         	0.678     
0         	0.777     
0         	0.800     
0         	0.762     
0         	0.780     
0         	0.776     
0         	0.815     
0         	0.781     
0         	0.797     
0         	0.803     
0         	0.817     
0         	0.798     
0         	0.774     
0         	0.807     
0         	0.824     
0         	0.790     
0         	0.817     
0         	0.792     
0         	0.787     
0         	0.800     
0         	0.800     
0         	0.786     
0         	0.805     
0         	0.794     
0         	0.783     
0         	0.766     
0         	0.809     
0         	0.811     
0         	0.815     
0         	0.804     
