# site 	 DENSITY
0         	0.191     
1         	0.192     
2         	0.173     
3         	0.185     
4         	0.180     
5         	0.190     
6         	0.179     
7         	0.180     
8         	0.178     
9         	0.174     
10        	0.195     
11        	0.192     
12        	0.199     
13        	0.216     
14        	0.208     
15        	0.217     
16        	0.195     
17        	0.200     
18        	0.189     
19        	0.185     
20        	0.189     
21        	0.220     
22        	0.188     
23        	0.198     
24        	0.191     
25        	0.190     
26        	0.204     
27        	0.178     
28        	0.198     
29        	0.187     
30        	0.192     
31        	0.187     
32        	0.176     
33        	0.168     
34        	0.189     
35        	0.194     
36        	0.184     
37        	0.186     
38        	0.192     
39        	0.192     
40        	0.194     
41        	0.187     
42        	0.185     
43        	0.179     
44        	0.187     
45        	0.211     
46        	0.218     
47        	0.204     
48        	0.185     
49        	0.194     
50        	0.199     
51        	0.179     
52        	0.194     
53        	0.203     
54        	0.192     
55        	0.191     
56        	0.180     
57        	0.193     
58        	0.180     
59        	0.183     
60        	0.193     
61        	0.179     
62        	0.192     
63        	0.179     
64        	0.194     
65        	0.195     
66        	0.192     
67        	0.203     
68        	0.215     
69        	0.283     
70        	0.305     
71        	0.309     
72        	0.310     
73        	0.313     
74        	0.328     
75        	0.332     
76        	0.339     
77        	0.361     
78        	0.371     
79        	0.390     
80        	0.380     
81        	0.380     
82        	0.413     
83        	0.438     
84        	0.453     
85        	0.468     
86        	0.465     
87        	0.467     
88        	0.471     
89        	0.475     
90        	0.486     
91        	0.492     
92        	0.502     
93        	0.545     
94        	0.547     
95        	0.567     
96        	0.592     
97        	0.638     
98        	0.694     
99        	0.715     
