# site 	 DENSITY
0         	0.748     
1         	0.684     
2         	0.650     
3         	0.630     
4         	0.616     
5         	0.601     
6         	0.593     
7         	0.581     
8         	0.574     
9         	0.573     
10        	0.570     
11        	0.559     
12        	0.560     
13        	0.554     
14        	0.554     
15        	0.551     
16        	0.545     
17        	0.545     
18        	0.542     
19        	0.538     
20        	0.536     
21        	0.531     
22        	0.532     
23        	0.530     
24        	0.534     
25        	0.532     
26        	0.530     
27        	0.531     
28        	0.523     
29        	0.526     
30        	0.517     
31        	0.519     
32        	0.517     
33        	0.514     
34        	0.521     
35        	0.519     
36        	0.518     
37        	0.521     
38        	0.521     
39        	0.522     
40        	0.519     
41        	0.518     
42        	0.522     
43        	0.520     
44        	0.516     
45        	0.510     
46        	0.507     
47        	0.506     
48        	0.502     
49        	0.503     
50        	0.505     
51        	0.500     
52        	0.493     
53        	0.494     
54        	0.493     
55        	0.490     
56        	0.492     
57        	0.490     
58        	0.490     
59        	0.488     
60        	0.485     
61        	0.479     
62        	0.479     
63        	0.476     
64        	0.474     
65        	0.476     
66        	0.471     
67        	0.470     
68        	0.467     
69        	0.464     
70        	0.460     
71        	0.456     
72        	0.452     
73        	0.456     
74        	0.450     
75        	0.457     
76        	0.451     
77        	0.448     
78        	0.449     
79        	0.449     
80        	0.451     
81        	0.449     
82        	0.445     
83        	0.448     
84        	0.448     
85        	0.447     
86        	0.443     
87        	0.439     
88        	0.436     
89        	0.426     
90        	0.424     
91        	0.417     
92        	0.411     
93        	0.406     
94        	0.399     
95        	0.387     
96        	0.368     
97        	0.350     
98        	0.319     
99        	0.256     
