# site 	 DENSITY l1 	 DENSITY l2
0         	0.338     	0.118     
1         	0.283     	0.083     
2         	0.275     	0.079     
3         	0.275     	0.078     
4         	0.274     	0.077     
5         	0.272     	0.078     
6         	0.271     	0.078     
7         	0.270     	0.078     
8         	0.269     	0.077     
9         	0.268     	0.079     
10        	0.270     	0.079     
11        	0.269     	0.078     
12        	0.269     	0.078     
13        	0.269     	0.078     
14        	0.268     	0.077     
15        	0.268     	0.077     
16        	0.267     	0.079     
17        	0.269     	0.078     
18        	0.270     	0.077     
19        	0.269     	0.077     
20        	0.269     	0.077     
21        	0.269     	0.078     
22        	0.269     	0.075     
23        	0.270     	0.077     
24        	0.267     	0.077     
25        	0.267     	0.077     
26        	0.268     	0.079     
27        	0.267     	0.077     
28        	0.268     	0.077     
29        	0.268     	0.077     
30        	0.268     	0.077     
31        	0.270     	0.077     
32        	0.270     	0.077     
33        	0.269     	0.076     
34        	0.266     	0.076     
35        	0.268     	0.076     
36        	0.268     	0.076     
37        	0.268     	0.076     
38        	0.267     	0.076     
39        	0.270     	0.076     
40        	0.270     	0.076     
41        	0.268     	0.073     
42        	0.269     	0.074     
43        	0.270     	0.076     
44        	0.269     	0.074     
45        	0.267     	0.073     
46        	0.269     	0.071     
47        	0.269     	0.068     
48        	0.271     	0.059     
49        	0.263     	0.000     
