# Density 	 particles 	 CURRENT
0.00      	0         	0.000     
0.01      	1         	0.010     
0.02      	2         	0.020     
0.03      	3         	0.020     
0.04      	4         	0.040     
0.05      	5         	0.040     
0.06      	6         	0.050     
0.07      	7         	0.070     
0.08      	8         	0.070     
0.09      	9         	0.080     
0.10      	10        	0.090     
0.11      	11        	0.100     
0.12      	12        	0.090     
0.13      	13        	0.120     
0.14      	14        	0.130     
0.15      	15        	0.110     
0.16      	16        	0.110     
0.17      	17        	0.170     
0.18      	18        	0.110     
0.19      	19        	0.170     
0.20      	20        	0.150     
0.21      	21        	0.160     
0.22      	22        	0.200     
0.23      	23        	0.190     
0.24      	24        	0.180     
0.25      	25        	0.170     
0.26      	26        	0.220     
0.27      	27        	0.200     
0.28      	28        	0.200     
0.29      	28        	0.170     
0.30      	30        	0.180     
0.31      	31        	0.230     
0.32      	32        	0.250     
0.33      	33        	0.210     
0.34      	34        	0.250     
0.35      	35        	0.260     
0.36      	36        	0.240     
0.37      	37        	0.250     
0.38      	38        	0.220     
0.39      	39        	0.250     
0.40      	40        	0.240     
0.41      	41        	0.250     
0.42      	42        	0.270     
0.43      	43        	0.230     
0.44      	44        	0.230     
0.45      	45        	0.270     
0.46      	46        	0.260     
0.47      	47        	0.260     
0.48      	48        	0.250     
0.49      	49        	0.280     
0.50      	50        	0.250     
0.51      	51        	0.250     
0.52      	52        	0.300     
0.53      	53        	0.290     
0.54      	54        	0.220     
0.55      	55        	0.250     
0.56      	56        	0.270     
0.57      	57        	0.200     
0.58      	57        	0.250     
0.59      	59        	0.220     
0.60      	60        	0.250     
0.61      	61        	0.200     
0.62      	62        	0.240     
0.63      	63        	0.250     
0.64      	64        	0.260     
0.65      	65        	0.200     
0.66      	66        	0.210     
0.67      	67        	0.200     
0.68      	68        	0.220     
0.69      	69        	0.200     
0.70      	70        	0.190     
0.71      	71        	0.240     
0.72      	72        	0.180     
0.73      	73        	0.210     
0.74      	74        	0.220     
0.75      	75        	0.230     
0.76      	76        	0.200     
0.77      	77        	0.190     
0.78      	78        	0.120     
0.79      	79        	0.180     
0.80      	80        	0.150     
0.81      	81        	0.150     
0.82      	82        	0.170     
0.83      	83        	0.140     
0.84      	84        	0.120     
0.85      	85        	0.130     
0.86      	86        	0.140     
0.87      	87        	0.120     
0.88      	88        	0.130     
0.89      	89        	0.090     
0.90      	90        	0.100     
0.91      	91        	0.080     
0.92      	92        	0.050     
0.93      	93        	0.060     
0.94      	94        	0.050     
0.95      	95        	0.040     
0.96      	96        	0.040     
0.97      	97        	0.020     
0.98      	98        	0.030     
0.99      	99        	0.010     
1.00      	100       	0.000     
